province_n,district_n,sector_nam,cell_name,mean,median,sum
Amajyaruguru,Gakenke,Muhondo,Rwinkuba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muyongwe,Bumba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muyongwe,Gisiza,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muyongwe,Karyango,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muyongwe,Nganzo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muyongwe,Va,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muzo,Kabatezi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muzo,Kiryamo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muzo,Mubuga,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muzo,Mwiyando,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muzo,Rwa,0.0,0.0,0.0
Amajyaruguru,Gakenke,Nemba,Buranga,0.5750525930653447,0.5713364481925964,13.22620964050293
Amajyaruguru,Gakenke,Nemba,Gahinga,0.8592153436997357,0.8569100499153137,14.606660842895508
Amajyaruguru,Gakenke,Nemba,Gisozi,0.4580187201499939,0.0,14.656599044799805
Amajyaruguru,Gakenke,Nemba,Mucaca,0.19504618644714355,0.0,6.241477966308594
Amajyaruguru,Gakenke,Ruli,Busoro,0.0,0.0,0.0
Amajyaruguru,Gakenke,Ruli,Gikingo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Ruli,Jango,0.03324540625227258,0.0,1.5625340938568115
Amajyaruguru,Gakenke,Ruli,Ruli,0.511243598405705,0.54710853099823,21.983474731445312
Amajyaruguru,Gakenke,Ruli,Rwesero,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Gataba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Kamonyi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Murambi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Nyundo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Rumbi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rusasa,Rurembo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rushashi,Burimba,0.16831433773040771,0.0,2.6930294036865234
Amajyaruguru,Gakenke,Rushashi,Busanane,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rushashi,Joma,0.2297293472290039,0.0,5.743233680725098
